Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> online system 1
MANUAL> Mode MANUAL
APM: [MLAgent] EKF position unavailable
APM: ArduPlane V4.0.4 (9a0ca836)
APM: ChibiOS: cb42c858
APM: fmuv2 00230023 30345109 37383933
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
Flight battery 100 percent
APM: [MLAgent] EKF position unavailable
Received 1046 parameters
Saved 1046 parameters to mav.parm
APM: [MLAgent] EKF position unavailable
t,	0-9APM: [MLAgent] EKF position unavailable
tH	2.6APM: [MLAgent] EKF position unavailable
tX	,-5@APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] EKF position unavailable
tE	3%9t	3*$`$o(7_ZAPM: [MLAgent] S: 0 A: 0
APM: [MLAgent] S: 632770 A: 0
APM: [MLAgent] S: 632870 A: 0
APM: [MLAgent] S: 632970 A: 0
APM: [MLAgent] S: 633070 A: 0
APM: [MLAgent] S: 633170 A: 0
APM: [MLAgent] S: 633270 A: 0
APM: [MLAgent] S: 633370 A: 0
APM: [MLAgent] S: 633470 A: 0
APM: [MLAgent] S: 633570 A: 0
APM: [MLAgent] S: 633670 A: 0
APM: [MLAgent] S: 633770 A: 0
APM: [MLAgent] S: 633870 A: 0
APM: [MLAgent] S: 633970 A: 0
APM: [MLAgent] S: 634070 A: 0
APM: [MLAgent] S: 634170 A: 0
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 634270 A: 0
APM: [MLAgent] S: 634371 A: 0
APM: [MLAgent] S: 634470 A: 0
APM: [MLAgent] S: 634570 A: 0
APM: [MLAgent] S: 634670 A: 0
APM: [MLAgent] S: 634770 A: 0
APM: [MLAgent] S: 634870 A: 0
APM: [MLAgent] S: 634970 A: 0
APM: [MLAgent] S: 635070 A: 0
APM: [MLAgent] S: 635170 A: 0
APM: [MLAgent] S: 635270 A: 0
APM: [MLAgent] S: 635370 A: 0
APM: [MLAgent] S: 635470 A: 0
APM: [MLAgent] S: 635570 A: 0
APM: [MLAgent] S: 635670 A: 0
APM: [MLAgent] S: 635770 A: 0
APM: [MLAgent] S: 635870 A: 0
APM: [MLAgent] S: 635970 A: 0
APM: [MLAgent] S: 636070 A: 0
APM: [MLAgent] S: 636170 A: 0
APM: [MLAgent] S: 636270 A: 0
APM: [MLAgent] S: 636370 A: 0
APM: [MLAgent] S: 636470 A: 0
APM: [MLAgent] S: 636570 A: 0
APM: [MLAgent] S: 636670 A: 0
APM: [MLAgent] S: 636770 A: 0
APM: [MLAgent] S: 636870 A: 0
APM: [MLAgent] S: 636970 A: 0
APM: [MLAgent] S: 637070 A: 0
APM: [MLAgent] S: 637170 A: 0
APM: [MLAgent] S: 637270 A: 0
APM: [MLAgent] S: 637370 A: 0
APM: [MLAgent] S: 637470 A: 0
APM: [MLAgent] S: 637570 A: 0
APM: [MLAgent] S: 637670 A: 0
APM: [MLAgent] S: 637770 A: 0
APM: [MLAgent] S: 637870 A: 0
APM: [MLAgent] S: 637970 A: 0
APM: [MLAgent] S: 638070 A: 0
APM: [MLAgent] S: 638170 A: 0
APM: [MLAgent] S: 638270 A: 0
APM: [MLAgent] S: 638370 A: 0
APM: [MLAgent] S: 638470 A: 0
APM: [MLAgent] S: 638571 A: 0
APM: [MLAgent] S: 638670 A: 0
APM: [MLAgent] S: 638770 A: 0
APM: [MLAgent] S: 638870 A: 0
APM: [MLAgent] S: 638970 A: 0
APM: [MLAgent] S: 639070 A: 0
APM: [MLAgent] S: 639170 A: 0
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 639270 A: 0
APM: [MLAgent] S: 639370 A: 0
APM: [MLAgent] S: 639470 A: 0
APM: [MLAgent] S: 639570 A: 0
APM: [MLAgent] S: 639670 A: 0
APM: [MLAgent] S: 639770 A: 0
APM: [MLAgent] S: 639870 A: 0
APM: [MLAgent] S: 639970 A: 0
APM: [MLAgent] S: 640070 A: 0
APM: [MLAgent] S: 640170 A: 0
APM: [MLAgent] S: 640270 A: 0
APM: [MLAgent] S: 640370 A: 0
APM: [MLAgent] S: 640470 A: 0
APM: [MLAgent] S: 640570 A: 0
APM: [MLAgent] S: 640670 A: 0
APM: [MLAgent] S: 640770 A: 0
APM: [MLAgent] S: 640870 A: 0
APM: [MLAgent] S: 640970 A: 0
