Auto-detected serial ports are:
/dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connecting to /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
Connect /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0 source_system=255
Log Directory: 
Telemetry log: mav.tlog
Waiting for heartbeat from /dev/serial/by-id/usb-Silicon_Labs_CP2102_USB_to_UART_Bridge_Controller_0001-if00-port0
MAV> APM: [MLAgent] S: 5253851 A: 1451829
APM: [MLAgent] EKF position unavailable
APM: [MLAgent] S: 5253950 A: 1451829
APM: [MLAgent] S: 5254051 A: 1451829
APM: [MLAgent] S: 5254150 A: 1451829
APM: [MLAgent] S: 5254250 A: 1451829
APM: [MLAgent] S: 5254350 A: 1451829
APM: [MLAgent] S: 5254450 A: 1451829
APM: [MLAgent] S: 5254550 A: 1451829
online system 1
AUTO> Mode AUTO
APM: [MLAgent] S: 5254650 A: 1451829
APM: [MLAgent] S: 5254751 A: 1451829
65400
waypoint 2
APM: [MLAgent] S: 5254850 A: 1451829
APM: [MLAgent] S: 5254950 A: 1451829
APM: [MLAgent] S: 5255051 A: 1451829
APM: [MLAgent] S: 5255150 A: 1451829
APM: [MLAgent] S: 5255250 A: 1451829
APM: [MLAgent] S: 5255350 A: 1451829
ftp open failed
APM: [MLAgent] S: 5255450 A: 1451829
APM: [MLAgent] S: 5255550 A: 1451829
APM: [MLAgent] S: 5255651 A: 1451829
APM: [MLAgent] S: 5255750 A: 1451829
APM: [MLAgent] S: 5255850 A: 1451829
APM: [MLAgent] S: 5255951 A: 1451829
APM: [MLAgent] S: 5256050 A: 1451829
APM: [MLAgent] S: 5256150 A: 1451829
APM: [MLAgent] S: 5256251 A: 1451829
APM: [MLAgent] S: 5256350 A: 1451829
APM: [MLAgent] S: 5256450 A: 1451829
ftp open failed
APM: [MLAgent] S: 5256550 A: 1451829
APM: [MLAgent] S: 5256650 A: 1451829
APM: [MLAgent] S: 5256750 A: 1451829
APM: [MLAgent] S: 5256851 A: 1451829
APM: [MLAgent] S: 5256950 A: 1451829
APM: [MLAgent] S: 5257050 A: 1451829
APM: [MLAgent] S: 5257151 A: 1451829
APM: [MLAgent] S: 5257250 A: 1451829
APM: [MLAgent] S: 5257350 A: 1451829
APM: ArduPlane V4.0.4 (9a0ca836)
APM: ChibiOS: cb42c858
APM: fmuv2 00230023 30345109 37383933
APM: [MLAgent] S: 5257450 A: 1451829
APM: [MLAgent] S: 5257550 A: 1451829
APM: [MLAgent] S: 5257650 A: 1451829
APM: [MLAgent] S: 5257751 A: 1451829
APM: [MLAgent] S: 5257850 A: 1451829
APM: [MLAgent] S: 5257950 A: 1451829
APM: [MLAgent] S: 5258050 A: 1451829
APM: [MLAgent] S: 5258150 A: 1451829
